song_name,artist,genre,popularity,release_date,music_link,track_id,image,duration_ms,explicit,external_urls,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
WORTH IT (feat. Don Toliver),"Offset, Don Toliver",Rap,69,13/10/2023,https://open.spotify.com/track/7kp6XhIxrvNb8BgTwLjaEx,7kp6XhIxrvNb8BgTwLjaEx,https://i.scdn.co/image/ab67616d0000b2738473cdc72d9c6f9a2787e070,188333,TRUE,https://open.spotify.com/track/7kp6XhIxrvNb8BgTwLjaEx,0.82,0.725,10,-5.065,0,0.0879,0.206,0,0.209,0.555,95.055
JEALOUSY (feat. Cardi B),"Offset, Cardi B",Rap,65,28/07/2023,https://open.spotify.com/track/73S4fsK22WH929PLFNYgOj,73S4fsK22WH929PLFNYgOj,https://i.scdn.co/image/ab67616d0000b2739e6ca50fb5bab76175bc1b4b,174467,TRUE,https://open.spotify.com/track/73S4fsK22WH929PLFNYgOj,0.926,0.577,10,-6.805,0,0.367,0.0401,0,0.23,0.304,134.383
DON'T YOU LIE,Offset,Rap,64,13/10/2023,https://open.spotify.com/track/0MSTxF501TyzjuRTHZz46g,0MSTxF501TyzjuRTHZz46g,https://i.scdn.co/image/ab67616d0000b2738473cdc72d9c6f9a2787e070,191467,TRUE,https://open.spotify.com/track/0MSTxF501TyzjuRTHZz46g,0.839,0.758,8,-5.315,0,0.136,0.214,0,0.314,0.355,119.964
Clout (feat. Cardi B),"Offset, Cardi B",Rap,66,22/02/2019,https://open.spotify.com/track/59ywHNwwchG4nZJMLyxSzd,59ywHNwwchG4nZJMLyxSzd,https://i.scdn.co/image/ab67616d0000b2737028679269dc6a5a29ce8f36,205803,TRUE,https://open.spotify.com/track/59ywHNwwchG4nZJMLyxSzd,0.919,0.622,1,-7.384,1,0.0997,0.228,4.24E-06,0.122,0.424,140.022
WORTH IT (feat. Don Toliver),"Offset, Don Toliver",Rap,63,12/10/2023,https://open.spotify.com/track/08oo0eCDQZ9XC3zQR8q44y,08oo0eCDQZ9XC3zQR8q44y,https://i.scdn.co/image/ab67616d0000b2739f078604913b8478726ad74a,188333,TRUE,https://open.spotify.com/track/08oo0eCDQZ9XC3zQR8q44y,0.808,0.719,10,-4.98,0,0.105,0.188,0,0.204,0.569,94.998
Danger (Spider) (Offset & JID),"Offset, JID",Rap,63,02/06/2023,https://open.spotify.com/track/3X6qK1LdMkSOhklwRa2ZfG,3X6qK1LdMkSOhklwRa2ZfG,https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f,205267,FALSE,https://open.spotify.com/track/3X6qK1LdMkSOhklwRa2ZfG,0.833,0.686,11,-6.39,1,0.117,0.0421,0.000128,0.227,0.252,143.427
JEALOUSY (feat. Cardi B),"Offset, Cardi B",Rap,60,13/10/2023,https://open.spotify.com/track/52lJC8UndX32dECyJlRGSJ,52lJC8UndX32dECyJlRGSJ,https://i.scdn.co/image/ab67616d0000b2738473cdc72d9c6f9a2787e070,174333,TRUE,https://open.spotify.com/track/52lJC8UndX32dECyJlRGSJ,0.929,0.558,1,-7.281,1,0.327,0.0355,0,0.208,0.348,134.34
FAN,Offset,Rap,62,13/10/2023,https://open.spotify.com/track/41JN30LlL093JqC2YUJ0IW,41JN30LlL093JqC2YUJ0IW,https://i.scdn.co/image/ab67616d0000b2738473cdc72d9c6f9a2787e070,156307,TRUE,https://open.spotify.com/track/41JN30LlL093JqC2YUJ0IW,0.638,0.846,5,-4.869,0,0.411,0.248,0,0.117,0.413,164.024
Legacy (feat. Travis Scott & 21 Savage),"Offset, Travis Scott, 21 Savage",Rap,61,22/02/2019,https://open.spotify.com/track/7pMRoGLEJuFM2wl5pt0R99,7pMRoGLEJuFM2wl5pt0R99,https://i.scdn.co/image/ab67616d0000b2737028679269dc6a5a29ce8f36,244941,TRUE,https://open.spotify.com/track/7pMRoGLEJuFM2wl5pt0R99,0.844,0.513,1,-8.769,1,0.335,0.178,0,0.0845,0.344,128.085
Nightmare,"Offset, Metro Boomin",Rap,59,30/10/2017,https://open.spotify.com/track/7LAhKXDNWwq3CmnFP3UIOP,7LAhKXDNWwq3CmnFP3UIOP,https://i.scdn.co/image/ab67616d0000b2730db43130a9aaa7bae56967ed,147987,TRUE,https://open.spotify.com/track/7LAhKXDNWwq3CmnFP3UIOP,0.739,0.405,0,-10.897,1,0.085,0.443,0.207,0.158,0.128,157.09
