song_name,artist,genre,popularity,release_date,music_link,track_id,image
Lonely Moods for End of Summer Vacation,Tokyo Bebop Jazz Playlist,jazz,0,2022-09-09,https://open.spotify.com/track/1DdoNXpnx6jbiuFw4HOECO,1DdoNXpnx6jbiuFw4HOECO,https://i.scdn.co/image/ab67616d0000b27303f05188fab748858ab25931
Background for Autumn Moods,Background Jazz Music,jazz,0,2021-11-10,https://open.spotify.com/track/3IoV1yrzfpzDJz8FOxPYzn,3IoV1yrzfpzDJz8FOxPYzn,https://i.scdn.co/image/ab67616d0000b273df3e85a4e4d9747b46cc4077
Autumn Lemon Colored Luxury Never Stops,Lars Christian Lundholm,jazz,0,2023-05-08,https://open.spotify.com/track/37lH65Sa9E40fyLMhduren,37lH65Sa9E40fyLMhduren,https://i.scdn.co/image/ab67616d0000b273055329ee02f1bd3b16369ead
Easy Ambience for Chill Summer Time,Relaxing Instrumental Jazz and Coffee,jazz,0,2022-08-07,https://open.spotify.com/track/4NVU63SabkZePT6erBOWNf,4NVU63SabkZePT6erBOWNf,https://i.scdn.co/image/ab67616d0000b2732c08ac0e0fb25d808c851811
Steal the Crumbs,Uncle Tupelo,country,0,2022-04-22,https://open.spotify.com/track/50lTqSlGba3XSjQ5vdyqkH,50lTqSlGba3XSjQ5vdyqkH,https://i.scdn.co/image/ab67616d0000b2731d5523b3ce4b43efcd2a4080
Grandis og øl!,Ausekarane,country,9,2022-06-24,https://open.spotify.com/track/6Ud1b350q3V1aDdGXHZj6q,6Ud1b350q3V1aDdGXHZj6q,https://i.scdn.co/image/ab67616d0000b273a5db09cc0e4d755cd91ec6a8
The Gambler,Kenny Rogers,country,1,2023-07-07,https://open.spotify.com/track/6q3qfPNgQSDyN2BstsHwKs,6q3qfPNgQSDyN2BstsHwKs,https://i.scdn.co/image/ab67616d0000b273b08cba209e8c4b993d430a05
Am I Right Or Wrong?,Son House,country,0,2020-05-26,https://open.spotify.com/track/59ffIIE7970hYSf5oMTLtu,59ffIIE7970hYSf5oMTLtu,https://i.scdn.co/image/ab67616d0000b273e8de0abe08c89f63bef481d1
Go Tell It on the Mountain,Clay Walker,country,0,2023-06-26,https://open.spotify.com/track/4dVIgTYl0flz7DZjQXi26g,4dVIgTYl0flz7DZjQXi26g,https://i.scdn.co/image/ab67616d0000b273ab627b3241edd63a0ce04c38
Straight Tequila Night,Ashley McBryde,country,33,2022-08-05,https://open.spotify.com/track/6rM6byRRxL2BZEKJ4UMNBl,6rM6byRRxL2BZEKJ4UMNBl,https://i.scdn.co/image/ab67616d0000b2731ec11205609e744599a5c497
The Alley Crap Game,Tampa Red,country,0,2020-09-07,https://open.spotify.com/track/49R8djReGVHNEas94IONQZ,49R8djReGVHNEas94IONQZ,https://i.scdn.co/image/ab67616d0000b273c6927c1aeb23f083332b1f17
Speechless,Dan + Shay,country,0,2023-02-24,https://open.spotify.com/track/6g4tyUOEF67gBq90U2g1m9,6g4tyUOEF67gBq90U2g1m9,https://i.scdn.co/image/ab67616d0000b2739f8fc0c720fe5afc2c09da81
Can't Nobody,Mackenzie Carpenter,country,0,2023-11-17,https://open.spotify.com/track/3cWxyPNgXcOzVOW1alafLy,3cWxyPNgXcOzVOW1alafLy,https://i.scdn.co/image/ab67616d0000b27377c195fda169eba8478c1193
