song_name,artist,genre,popularity,release_date,music_link,track_id
Morning Has Broken,Yusuf / Cat Stevens,rock,1,2023-09-08,https://open.spotify.com/track/7pqLQUYVtomIS4psO0AeoK,7pqLQUYVtomIS4psO0AeoK
Sister Seagull,Be Bop Deluxe,rock,2,2021-08-27,https://open.spotify.com/track/4IL9Ib8uEzsWvXeJ5bDQP4,4IL9Ib8uEzsWvXeJ5bDQP4
kamień na kamieniu,Guantanamo Party Program,rock,1,2022-10-13,https://open.spotify.com/track/67Ey5cvFf0nMd0pzh7FIqq,67Ey5cvFf0nMd0pzh7FIqq
Passado - Ao Vivo,Teorias do Amor Moderno,rock,0,2021-04-01,https://open.spotify.com/track/7EWPaKA3VoCPbY3lt1ViCq,7EWPaKA3VoCPbY3lt1ViCq
A Partir De Hoy,David Bisbal,rock,0,2023-08-11,https://open.spotify.com/track/3jDV2aPw4oFJ5Nvn9fr5Ga,3jDV2aPw4oFJ5Nvn9fr5Ga
Resto del Mundo - Vivo Sesiones Colmena,Bestia Bebé,rock,0,2020-04-01,https://open.spotify.com/track/1uAFM9bMAinEi3MOT0Szo4,1uAFM9bMAinEi3MOT0Szo4
Take 3 - Audiotree Live Version,Inner Wave,rock,16,2023-04-05,https://open.spotify.com/track/6wuqWN6k4KFRDBlTe2wbUy,6wuqWN6k4KFRDBlTe2wbUy
Sea of Sin,Depeche Mode,rock,20,2020-07-17,https://open.spotify.com/track/2zGi2qe3qY8k0ybPcBSJST,2zGi2qe3qY8k0ybPcBSJST
The Difference Between You and I,The Second Face,rock,0,2020-02-29,https://open.spotify.com/track/2mH2w4krSGzsD6qT9MZbjx,2mH2w4krSGzsD6qT9MZbjx
Low Rider,Big Rome,hip-hop,10,2020-09-04,https://open.spotify.com/track/5aonpFlPRTroHzB8gX9ytv,5aonpFlPRTroHzB8gX9ytv
Control,Syd,hip-hop,34,2022-04-08,https://open.spotify.com/track/6A54M2DNbcQfFkbsppRg4v,6A54M2DNbcQfFkbsppRg4v
Always,Young Dolph,hip-hop,39,2022-12-16,https://open.spotify.com/track/4zRO5o7Glsa5BeGdBLOGJ2,4zRO5o7Glsa5BeGdBLOGJ2
Rockstar,Einár,hip-hop,55,2020-09-28,https://open.spotify.com/track/3SgxrIzomzoZtRLeI46ts1,3SgxrIzomzoZtRLeI46ts1
פרסים,Shay TRA Litman,hip-hop,16,2021-12-22,https://open.spotify.com/track/6PsxJfg2gjwP6VhC41nivY,6PsxJfg2gjwP6VhC41nivY
"Morena, Vol. 2",ILUMINATIK BUFFON,hip-hop,17,2022-10-29,https://open.spotify.com/track/0tVK4Cyef9GbHlHd91rBzj,0tVK4Cyef9GbHlHd91rBzj
PURE (with Meron T),El Londo,hip-hop,15,2023-06-02,https://open.spotify.com/track/3O71fh69yOp387zTjwV5XB,3O71fh69yOp387zTjwV5XB
Snow - Slowed + Reverb,Drup,hip-hop,6,2020-09-05,https://open.spotify.com/track/5dX9kEkHA8zS5UIVZcobXM,5dX9kEkHA8zS5UIVZcobXM
On&Off,DawaMafia,hip-hop,14,2023-03-17,https://open.spotify.com/track/2UJpzPG3qO1HobSSv37RmI,2UJpzPG3qO1HobSSv37RmI
My Touch - Remix,Eugy Official,hip-hop,28,2021-08-20,https://open.spotify.com/track/4QCIFeC7FdVlEVXz4XRhh1,4QCIFeC7FdVlEVXz4XRhh1
No Drama,Mekh Zakhq,hip-hop,6,2021-04-19,https://open.spotify.com/track/6rqDpFpmbLvUqbDWk3eVBr,6rqDpFpmbLvUqbDWk3eVBr
Farewell to Shaman,Spectateur,hip-hop,19,2021-07-09,https://open.spotify.com/track/4pf8q2OTwg0vZTBmNVNi58,4pf8q2OTwg0vZTBmNVNi58
Rayon de soleil,Saké,hip-hop,36,2020-06-29,https://open.spotify.com/track/5tH1ynwCJbVCygLzxZJUtv,5tH1ynwCJbVCygLzxZJUtv
B.I.B.O.,Dardan,hip-hop,27,2021-11-04,https://open.spotify.com/track/2CzO2kRN5QDxD39q0QNnSN,2CzO2kRN5QDxD39q0QNnSN
