song_name,artist,genre,popularity,release_date,music_link,track_id,image
Soweto (with Omah Lay & Tempoe),"Victony, Omah Lay, Tempoe",Afrobeat,60,2023-04-28,https://open.spotify.com/track/5bKxwhNieD3qoGmwkoM4Vk,5bKxwhNieD3qoGmwkoM4Vk,https://i.scdn.co/image/ab67616d0000b273b4c2bc6b4cde98b8090bc278
"Soweto - Sped Up (with Don Toliver, Rema & Tempoe)","Victony, Rema, Tempoe, Don Toliver",Afrobeat,58,2023-03-21,https://open.spotify.com/track/3SaF6WLUiyfcOM5sTvUEOb,3SaF6WLUiyfcOM5sTvUEOb,https://i.scdn.co/image/ab67616d0000b273f34cb353bbd8bc9b3fd52cf3
Many Man - A COLORS SHOW,Victony,Afrobeat,57,2022-06-30,https://open.spotify.com/track/4nwtkUjULEbhp5VJItUWbV,4nwtkUjULEbhp5VJItUWbV,https://i.scdn.co/image/ab67616d0000b2739538f2dad9158ed7a823487c
Jaga Jaga (with Babyboy AV),"Victony, Babyboy AV",Afrobeat,60,2023-09-29,https://open.spotify.com/track/3qH7uGwlgr7tmoL4ksRhPi,3qH7uGwlgr7tmoL4ksRhPi,https://i.scdn.co/image/ab67616d0000b273e127517943dd040f2df4b567
Chop & Slide,Victony,Afrobeat,54,2022-05-06,https://open.spotify.com/track/6FkMr9UfxD3I0Zf76XSRjj,6FkMr9UfxD3I0Zf76XSRjj,https://i.scdn.co/image/ab67616d0000b273ffa365c97c50f7343d09d49c
All Power,Victony,Afrobeat,55,2022-05-06,https://open.spotify.com/track/0FL3a257gQiLq4FqouZQJt,0FL3a257gQiLq4FqouZQJt,https://i.scdn.co/image/ab67616d0000b273ffa365c97c50f7343d09d49c
Angelus,Victony,Afrobeat,54,2023-06-23,https://open.spotify.com/track/2g43A8NJ0VInfpqUjsb5R6,2g43A8NJ0VInfpqUjsb5R6,https://i.scdn.co/image/ab67616d0000b2731c46c03692d1b7662e516dd3
Maria,"Victony, Falz",Afrobeat,51,2020-08-28,https://open.spotify.com/track/0nUdCgNaD390nOnmbBxRp9,0nUdCgNaD390nOnmbBxRp9,https://i.scdn.co/image/ab67616d0000b273945404e429dc3d70476961eb
Soweto (Sped Up),"Victony, Tempoe",Afrobeat,47,2023-02-03,https://open.spotify.com/track/3yHg0ZFV7FTRvREfCzRPbv,3yHg0ZFV7FTRvREfCzRPbv,https://i.scdn.co/image/ab67616d0000b273a5d3cc1e3580750868b034ce
Outlaw,Victony,Afrobeat,47,2022-05-06,https://open.spotify.com/track/6N8rRKxeJYiyJfu2GVsJSG,6N8rRKxeJYiyJfu2GVsJSG,https://i.scdn.co/image/ab67616d0000b273ffa365c97c50f7343d09d49c
No Joke,Victony,Afrobeat,44,2023-11-02,https://open.spotify.com/track/2HvW7GzIbiRQGAGytSBQz6,2HvW7GzIbiRQGAGytSBQz6,https://i.scdn.co/image/ab67616d0000b273d9df66397fa20973ec5eddee
Jó Riddim,Victony,Afrobeat,42,2020-08-28,https://open.spotify.com/track/5MsP2ynLKKGApukfCacHcd,5MsP2ynLKKGApukfCacHcd,https://i.scdn.co/image/ab67616d0000b273945404e429dc3d70476961eb
Soweto (with Tiimie & Tempoe),"Victony, Tiimie, Tempoe",Afrobeat,38,2023-03-21,https://open.spotify.com/track/57ilsP3uTiPsX1iZCUBb1Z,57ilsP3uTiPsX1iZCUBb1Z,https://i.scdn.co/image/ab67616d0000b27372b8ac7605b3c4c6425100a1
Soweto - Sped Up (with Tiimie & Tempoe),"Victony, Tiimie, Tempoe",Afrobeat,41,2023-03-21,https://open.spotify.com/track/5Jwxnq0VZk09GCucalsgX1,5Jwxnq0VZk09GCucalsgX1,https://i.scdn.co/image/ab67616d0000b27372b8ac7605b3c4c6425100a1
Fasta,Victony,Afrobeat,38,2020-08-28,https://open.spotify.com/track/1oSDQX7xPuvOh9TMIppVJj,1oSDQX7xPuvOh9TMIppVJj,https://i.scdn.co/image/ab67616d0000b273945404e429dc3d70476961eb
Ohema - mixed,"Victony, Bella Shmurda, Crayon",Afrobeat,35,2024-03-04,https://open.spotify.com/track/25BNRzKIbA4yCcq5yGS80w,25BNRzKIbA4yCcq5yGS80w,https://i.scdn.co/image/ab67616d0000b2731ad522c3e77f99bcbe39f208
Jambazz,Gabzy,Afrobeat,63,2023-05-31,https://open.spotify.com/track/4FW5bi4wZqMY6cAlVAWGTB,4FW5bi4wZqMY6cAlVAWGTB,https://i.scdn.co/image/ab67616d0000b273987a133a2e044997a818620b
Piano,"Gabzy, Lekaa Beats",Afrobeat,55,2024-02-22,https://open.spotify.com/track/2R6eV26pSgLz2yV5dfgzLL,2R6eV26pSgLz2yV5dfgzLL,https://i.scdn.co/image/ab67616d0000b2739523d74b6b869a226ad6de92
Pull Up,Gabzy,Afrobeat,49,2021-05-21,https://open.spotify.com/track/3pvXA8TPDC4Ulh21jJvamx,3pvXA8TPDC4Ulh21jJvamx,https://i.scdn.co/image/ab67616d0000b273bdb15439508cc9e1f44a1ae9
Set Nice,Gabzy,Afrobeat,47,2022-08-26,https://open.spotify.com/track/6Y7KImyBaNcywiOxOoItJv,6Y7KImyBaNcywiOxOoItJv,https://i.scdn.co/image/ab67616d0000b273b12401cdd130ecc5e31fa7a2
As Friends,Gabzy,Afrobeat,48,2020-12-18,https://open.spotify.com/track/5xfLJShg04bODHnt1MJyhD,5xfLJShg04bODHnt1MJyhD,https://i.scdn.co/image/ab67616d0000b273b982007ef87767e0a336ed9d
Hear Me Out,Gabzy,Afrobeat,47,2023-07-10,https://open.spotify.com/track/11KLr5Mt7fas5PdZw2Pcvv,11KLr5Mt7fas5PdZw2Pcvv,https://i.scdn.co/image/ab67616d0000b2737a1ed023d84c1f64e1eabc21
